Ma_SV,Ma_Hoc_Phan,Ten_Mon,So_Tin_Chi,Diem_So,Ky_Hoc,XepLoai,KetQua
A50001,CS100,Tin học đại cương,2,7.0,1,B,Đạt
A50001,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,4.9,1,D,Đạt
A50001,SH131,Pháp luật đại cương,2,7.1,1,B,Đạt
A50001,ML113,Triết học Mác - Lênin,3,6.6,1,C,Đạt
A50001,GE111,Tiếng Anh sơ cấp 1,2,7.1,1,B,Đạt
A50001,CS121,Lập trình cơ sở 1,3,8.6,2,A,Đạt
A50001,MA120,Đại số tuyến tính,3,4.3,2,D,Đạt
A50001,GE112,Tiếng Anh sơ cấp 2,2,6.1,2,C,Đạt
A50001,ML114,Kinh tế chính trị Mác - Lênin,2,8.4,2,B,Đạt
A50001,CS212,Kiến trúc máy tính,3,5.9,2,C,Đạt
A50001,CS123,Lập trình cơ sở 2,2,4.2,3,D,Đạt
A50001,MA110,Giải tích 1,3,4.2,3,D,Đạt
A50001,MI201,Toán rời rạc,3,6.8,3,C,Đạt
A50001,GE121,Tiếng Anh sơ trung cấp 1,2,5.3,3,D,Đạt
A50001,ML115,Chủ nghĩa xã hội khoa học,2,7.0,3,B,Đạt
A50001,NA151,Khoa học môi trường,2,5.8,3,C,Đạt
A50001,CS122,Lập trình hướng đối tượng,3,9.3,4,A,Đạt
A50001,ML202,Tư tưởng Hồ Chí Minh,2,8.5,4,A,Đạt
A50001,GE222,Tiếng Anh sơ trung cấp 2,2,8.3,4,B,Đạt
A50001,MA239,Xác suất thống kê,3,5.9,4,C,Đạt
A50001,IS224,Lập trình khoa học dữ liệu,3,6.0,4,C,Đạt
A50001,AI130,Trí tuệ nhân tạo,3,9.8,4,A,Đạt
A50002,CS100,Tin học đại cương,2,8.7,1,A,Đạt
A50002,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,6.8,1,C,Đạt
A50002,SH131,Pháp luật đại cương,2,7.3,1,B,Đạt
A50002,ML113,Triết học Mác - Lênin,3,7.4,1,B,Đạt
A50002,GE111,Tiếng Anh sơ cấp 1,2,6.0,1,C,Đạt
A50002,CS121,Lập trình cơ sở 1,3,6.1,2,C,Đạt
A50002,MA120,Đại số tuyến tính,3,9.0,2,A,Đạt
A50002,GE112,Tiếng Anh sơ cấp 2,2,4.5,2,D,Đạt
A50002,ML114,Kinh tế chính trị Mác - Lênin,2,7.6,2,B,Đạt
A50002,CS212,Kiến trúc máy tính,3,7.0,2,B,Đạt
A50002,CS123,Lập trình cơ sở 2,2,7.1,3,B,Đạt
A50002,MA110,Giải tích 1,3,5.4,3,D,Đạt
A50002,MI201,Toán rời rạc,3,7.4,3,B,Đạt
A50002,GE121,Tiếng Anh sơ trung cấp 1,2,10.0,3,A,Đạt
A50002,ML115,Chủ nghĩa xã hội khoa học,2,7.7,3,B,Đạt
A50002,NA151,Khoa học môi trường,2,6.7,3,C,Đạt
A50002,CS122,Lập trình hướng đối tượng,3,4.6,4,D,Đạt
A50002,ML202,Tư tưởng Hồ Chí Minh,2,8.3,4,B,Đạt
A50002,GE222,Tiếng Anh sơ trung cấp 2,2,5.8,4,C,Đạt
A50002,MA239,Xác suất thống kê,3,9.1,4,A,Đạt
A50002,IS224,Lập trình khoa học dữ liệu,3,7.1,4,B,Đạt
A50002,AI130,Trí tuệ nhân tạo,3,8.1,4,B,Đạt
A50003,CS100,Tin học đại cương,2,10.0,1,A,Đạt
A50003,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,8.9,1,A,Đạt
A50003,SH131,Pháp luật đại cương,2,8.3,1,B,Đạt
A50003,ML113,Triết học Mác - Lênin,3,5.7,1,C,Đạt
A50003,GE111,Tiếng Anh sơ cấp 1,2,10.0,1,A,Đạt
A50003,CS121,Lập trình cơ sở 1,3,6.5,2,C,Đạt
A50003,MA120,Đại số tuyến tính,3,10.0,2,A,Đạt
A50003,GE112,Tiếng Anh sơ cấp 2,2,10.0,2,A,Đạt
A50003,ML114,Kinh tế chính trị Mác - Lênin,2,10.0,2,A,Đạt
A50003,CS212,Kiến trúc máy tính,3,7.7,2,B,Đạt
A50003,MA110,Giải tích 1,3,8.7,3,A,Đạt
A50003,MI201,Toán rời rạc,3,8.2,3,B,Đạt
A50003,GE121,Tiếng Anh sơ trung cấp 1,2,9.5,3,A,Đạt
A50003,ML115,Chủ nghĩa xã hội khoa học,2,6.1,3,C,Đạt
A50003,NA151,Khoa học môi trường,2,6.1,3,C,Đạt
A50003,CS122,Lập trình hướng đối tượng,3,9.1,4,A,Đạt
A50003,ML202,Tư tưởng Hồ Chí Minh,2,8.3,4,B,Đạt
A50003,GE222,Tiếng Anh sơ trung cấp 2,2,6.9,4,C,Đạt
A50003,MA239,Xác suất thống kê,3,10.0,4,A,Đạt
A50003,IS224,Lập trình khoa học dữ liệu,3,8.2,4,B,Đạt
A50003,AI130,Trí tuệ nhân tạo,3,8.9,4,A,Đạt
A50004,CS100,Tin học đại cương,2,5.8,1,C,Đạt
A50004,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,7.9,1,B,Đạt
A50004,SH131,Pháp luật đại cương,2,4.4,1,D,Đạt
A50004,ML113,Triết học Mác - Lênin,3,6.8,1,C,Đạt
A50004,GE111,Tiếng Anh sơ cấp 1,2,7.9,1,B,Đạt
A50004,CS121,Lập trình cơ sở 1,3,6.5,2,C,Đạt
A50004,MA120,Đại số tuyến tính,3,7.6,2,B,Đạt
A50004,GE112,Tiếng Anh sơ cấp 2,2,8.5,2,A,Đạt
A50004,ML114,Kinh tế chính trị Mác - Lênin,2,5.6,2,C,Đạt
A50004,CS212,Kiến trúc máy tính,3,5.8,2,C,Đạt
A50004,CS123,Lập trình cơ sở 2,2,5.9,3,C,Đạt
